,FIPS,2008_perc
0,01001,86.7
1,01003,83.6
2,01005,82.4
3,01007,82.0
4,01009,80.6
5,01011,80.9
6,01013,82.9
7,01015,84.6
8,01017,83.0
9,01019,82.9
10,01021,81.0
11,01023,84.1
12,01025,83.2
13,01027,83.5
14,01029,82.4
15,01031,84.3
16,01033,84.3
17,01035,85.0
18,01037,84.6
19,01039,83.8
20,01041,81.7
21,01043,82.3
22,01045,86.3
23,01047,84.8
24,01049,79.9
25,01051,84.9
26,01053,79.7
27,01055,83.1
28,01057,83.7
29,01059,80.7
30,01061,82.4
31,01063,84.6
32,01065,83.2
33,01067,83.6
34,01069,84.9
35,01071,83.8
36,01073,85.9
37,01075,83.3
38,01077,84.3
39,01079,83.1
40,01081,87.2
41,01083,84.6
42,01085,84.0
43,01087,85.6
44,01089,86.8
45,01091,85.1
46,01093,83.7
47,01095,80.9
48,01097,83.1
49,01099,83.7
50,01101,86.8
51,01103,83.9
52,01105,83.5
53,01107,83.6
54,01109,83.7
55,01111,82.0
56,01113,82.6
57,01115,83.9
58,01117,89.7
59,01119,84.2
60,01121,85.4
61,01123,85.1
62,01125,86.3
63,01127,83.1
64,01129,84.1
65,01131,82.0
66,01133,82.8
67,02013,68.3
68,02016,71.8
69,02020,82.8
70,02050,74.0
71,02060,72.4
72,02068,77.5
73,02070,69.0
74,02090,82.3
75,02100,74.6
76,02105,69.7
77,02110,81.8
78,02122,76.6
79,02130,78.0
80,02150,75.1
81,02164,59.7
82,02170,76.9
83,02180,69.6
84,02185,75.0
85,02188,71.1
86,02220,76.7
87,02230,80.7
88,02240,70.5
89,02261,76.5
90,02270,71.3
91,02282,67.1
92,02290,69.3
93,04001,74.2
94,04003,82.1
95,04005,75.8
96,04007,79.7
97,04009,79.4
98,04011,81.8
99,04012,74.8
100,04013,79.7
101,04015,78.2
102,04017,75.9
103,04019,81.4
104,04021,78.5
105,04023,71.6
106,04025,77.3
107,04027,75.2
108,05001,80.8
109,05003,81.1
110,05005,78.7
111,05007,80.8
112,05009,80.2
113,05011,75.2
114,05013,73.8
115,05015,73.1
116,05017,80.6
117,05019,80.1
118,05021,78.3
119,05023,77.6
120,05025,78.2
121,05027,80.7
122,05029,80.1
123,05031,80.7
124,05033,79.9
125,05035,81.1
126,05037,77.8
127,05039,77.5
128,05041,77.9
129,05043,79.0
130,05045,83.3
131,05047,79.3
132,05049,78.4
133,05051,77.3
134,05053,80.9
135,05055,81.3
136,05057,76.7
137,05059,79.9
138,05061,79.1
139,05063,81.8
140,05065,78.0
141,05067,79.5
142,05069,80.5
143,05071,78.5
144,05073,77.2
145,05075,78.5
146,05077,77.3
147,05079,76.9
148,05081,80.6
149,05083,79.8
150,05085,80.5
151,05087,76.3
152,05089,80.0
153,05091,79.5
154,05093,80.0
155,05095,77.0
156,05097,73.3
157,05099,78.7
158,05101,73.8
159,05103,80.7
160,05105,77.1
161,05107,80.5
162,05109,74.6
163,05111,78.4
164,05113,76.3
165,05115,80.2
166,05117,77.2
167,05119,84.3
168,05121,79.4
169,05123,79.4
170,05125,82.0
171,05127,77.3
172,05129,78.9
173,05131,79.1
174,05133,75.1
175,05135,78.7
176,05137,77.0
177,05139,82.0
178,05141,76.7
179,05143,78.5
180,05145,79.0
181,05147,75.8
182,05149,74.5
183,06001,86.8
184,06003,80.0
185,06005,83.7
186,06007,81.7
187,06009,83.5
188,06011,73.9
189,06013,87.8
190,06015,80.2
191,06017,85.7
192,06019,79.3
193,06021,75.8
194,06023,79.1
195,06025,76.3
196,06027,78.8
197,06029,79.9
198,06031,78.2
199,06033,80.3
200,06035,83.0
201,06037,76.2
202,06039,75.4
203,06041,88.7
204,06043,83.2
205,06045,77.6
206,06047,78.2
207,06049,78.7
208,06051,79.1
209,06053,76.7
210,06055,83.7
211,06057,83.9
212,06059,81.5
213,06061,88.6
214,06063,83.3
215,06065,77.9
216,06067,85.8
217,06069,80.4
218,06071,79.1
219,06073,81.6
220,06075,87.3
221,06077,82.1
222,06079,82.9
223,06081,87.3
224,06083,81.1
225,06085,87.9
226,06087,83.1
227,06089,81.9
228,06091,79.8
229,06093,80.7
230,06095,86.5
231,06097,84.0
232,06099,80.6
233,06101,78.3
234,06103,80.0
235,06105,80.1
236,06107,75.9
237,06109,83.1
238,06111,82.4
239,06113,85.4
240,06115,82.2
241,08001,77.6
242,08003,78.5
243,08005,82.9
244,08007,75.9
245,08009,77.3
246,08011,74.8
247,08013,85.1
248,08014,88.1
249,08015,77.9
250,08017,77.2
251,08019,86.0
252,08021,77.4
253,08023,76.0
254,08025,78.7
255,08027,73.5
256,08029,75.9
257,08031,77.8
258,08033,71.0
259,08035,91.8
260,08037,77.6
261,08039,84.9
262,08041,83.5
263,08043,78.4
264,08045,73.1
265,08047,91.9
266,08049,80.0
267,08051,80.1
268,08053,75.1
269,08055,78.1
270,08057,72.9
271,08059,85.5
272,08061,76.9
273,08063,72.1
274,08065,67.7
275,08067,77.5
276,08069,85.4
277,08071,78.1
278,08073,75.7
279,08075,78.4
280,08077,79.9
281,08079,71.5
282,08081,77.6
283,08083,74.5
284,08085,73.0
285,08087,73.6
286,08089,79.2
287,08091,75.4
288,08093,82.1
289,08095,74.2
290,08097,86.7
291,08099,74.3
292,08101,81.2
293,08103,80.4
294,08105,77.1
295,08107,85.7
296,08109,69.7
297,08111,72.3
298,08113,76.6
299,08115,72.9
300,08117,79.1
301,08119,85.4
302,08121,74.5
303,08123,78.7
304,08125,74.5
305,09001,88.7
306,09003,90.4
307,09005,90.7
308,09007,91.8
309,09009,89.7
310,09011,90.5
311,09013,92.1
312,09015,87.7
313,10001,88.0
314,10003,89.8
315,10005,84.2
316,11001,91.4
317,12001,79.4
318,12003,78.7
319,12005,79.2
320,12007,75.4
321,12009,79.0
322,12011,75.5
323,12013,74.0
324,12015,75.6
325,12017,75.9
326,12019,80.9
327,12021,71.5
328,12023,77.8
329,12027,63.1
330,12029,76.2
331,12031,80.8
332,12033,79.2
333,12035,77.0
334,12037,68.9
335,12039,77.5
336,12041,74.1
337,12043,67.7
338,12045,73.5
339,12047,75.3
340,12049,65.2
341,12051,63.5
342,12053,75.5
343,12055,70.4
344,12057,79.0
345,12059,75.6
346,12061,73.5
347,12063,79.3
348,12065,77.4
349,12067,65.6
350,12069,75.9
351,12071,74.7
352,12073,83.4
353,12075,74.2
354,12077,72.8
355,12079,75.3
356,12081,75.3
357,12083,73.9
358,12085,78.0
359,12086,67.9
360,12087,75.4
361,12089,78.4
362,12091,79.9
363,12093,66.8
364,12095,76.4
365,12097,72.3
366,12099,76.7
367,12101,75.0
368,12103,78.5
369,12105,77.6
370,12107,74.6
371,12109,83.1
372,12111,70.9
373,12113,80.5
374,12115,76.7
375,12117,80.3
376,12119,76.4
377,12121,74.0
378,12123,76.9
379,12125,75.4
380,12127,76.5
381,12129,77.9
382,12131,74.3
383,12133,77.2
384,13001,76.5
385,13003,71.8
386,13005,76.9
387,13007,76.6
388,13009,80.1
389,13011,77.2
390,13013,77.5
391,13015,80.6
392,13017,78.5
393,13019,78.6
394,13021,82.1
395,13023,81.1
396,13025,74.3
397,13027,76.3
398,13029,82.0
399,13031,78.1
400,13033,80.2
401,13035,79.1
402,13037,78.6
403,13039,80.9
404,13043,71.7
405,13045,79.8
406,13047,81.3
407,13049,77.0
408,13051,80.9
409,13053,82.0
410,13055,78.0
411,13057,82.6
412,13059,78.3
413,13061,78.1
414,13063,76.9
415,13065,77.5
416,13067,83.6
417,13069,75.8
418,13071,72.1
419,13073,85.4
420,13075,75.4
421,13077,82.9
422,13079,76.4
423,13081,78.1
424,13083,79.5
425,13085,79.2
426,13087,77.4
427,13089,77.5
428,13091,77.3
429,13093,78.4
430,13095,80.3
431,13097,80.5
432,13099,81.4
433,13101,62.7
434,13103,82.0
435,13105,76.3
