,state,county,politics,color
0,New York,Schoharie,"[['Dem', 58.9, 6843], ['GOP', 39.6, 4598], ['Grn', 0.6, 75], ['Lib', 0.6, 65], ['Oth', 0.3, 40]]",democrat
1,New York,Allegany,"[['GOP', 50.3, 7497], ['Dem', 47.9, 7140], ['Grn', 0.7, 103], ['Lib', 0.6, 85], ['Oth', 0.4, 67]]",republican
2,New York,Dutchess,"[['Dem', 65.7, 71838], ['GOP', 32.8, 35806], ['Lib', 0.6, 653], ['Grn', 0.5, 565], ['Oth', 0.4, 453]]",democrat
3,New York,St. Lawrence,"[['Dem', 69.8, 22309], ['GOP', 28.6, 9149], ['Grn', 0.7, 215], ['Lib', 0.5, 164], ['Oth', 0.4, 129]]",democrat
4,New York,Montgomery,"[['Dem', 64.3, 10217], ['GOP', 34.0, 5402], ['Oth', 0.7, 104], ['Lib', 0.6, 94], ['Grn', 0.5, 74]]",democrat
5,New York,Steuben,"[['Dem', 54.2, 18545], ['GOP', 44.2, 15123], ['Lib', 0.6, 209], ['Grn', 0.5, 187], ['Oth', 0.4, 131]]",democrat
6,New York,Bronx,"[['Dem', 93.0, 275512], ['GOP', 6.4, 19046], ['Grn', 0.3, 897], ['Lib', 0.2, 491], ['Oth', 0.2, 447]]",democrat
7,New York,Saratoga,"[['Dem', 64.9, 61489], ['GOP', 33.7, 31956], ['Lib', 0.6, 574], ['Grn', 0.5, 509], ['Oth', 0.3, 253]]",democrat
8,New York,Genesee,"[['Dem', 51.3, 11027], ['GOP', 46.7, 10035], ['Lib', 0.9, 204], ['Grn', 0.6, 139], ['Oth', 0.4, 82]]",democrat
9,New York,Yates,"[['Dem', 53.3, 4296], ['GOP', 44.7, 3604], ['Grn', 0.9, 70], ['Oth', 0.6, 50], ['Lib', 0.5, 42]]",democrat
10,New York,Oswego,"[['Dem', 60.7, 23365], ['GOP', 36.5, 14073], ['Grn', 1.3, 490], ['Oth', 0.8, 325], ['Lib', 0.7, 270]]",democrat
11,New York,Greene,"[['Dem', 60.8, 10633], ['GOP', 37.6, 6585], ['Lib', 0.6, 97], ['Grn', 0.6, 97], ['Oth', 0.5, 85]]",democrat
12,New York,Monroe,"[['Dem', 66.3, 195203], ['GOP', 32.0, 94222], ['Lib', 0.8, 2283], ['Grn', 0.6, 1814], ['Oth', 0.3, 1013]]",democrat
13,New York,Broome,"[['Dem', 65.1, 46415], ['GOP', 33.3, 23755], ['Lib', 0.7, 485], ['Grn', 0.7, 470], ['Oth', 0.3, 194]]",democrat
14,New York,Chautauqua,"[['Dem', 57.5, 26781], ['GOP', 41.0, 19107], ['Lib', 0.6, 291], ['Grn', 0.5, 251], ['Oth', 0.4, 181]]",democrat
15,New York,Chemung,"[['Dem', 62.0, 18996], ['GOP', 36.7, 11244], ['Lib', 0.6, 169], ['Grn', 0.4, 129], ['Oth', 0.3, 106]]",democrat
16,New York,Hamilton,"[['Dem', 50.3, 1272], ['GOP', 48.3, 1221], ['Grn', 0.7, 18], ['Lib', 0.5, 13], ['Oth', 0.2, 5]]",democrat
17,New York,Orleans,"[['Dem', 50.3, 6471], ['GOP', 47.6, 6126], ['Lib', 0.9, 119], ['Oth', 0.6, 79], ['Grn', 0.6, 77]]",democrat
18,New York,Suffolk,"[['Dem', 63.3, 324070], ['GOP', 35.4, 181308], ['Lib', 0.5, 2365], ['Grn', 0.4, 2058], ['Oth', 0.4, 1901]]",democrat
19,New York,Albany,"[['Dem', 75.2, 91385], ['GOP', 23.1, 28138], ['Grn', 0.8, 999], ['Lib', 0.6, 762], ['Oth', 0.2, 301]]",democrat
20,New York,Rockland,"[['Dem', 66.8, 72312], ['GOP', 32.1, 34764], ['Grn', 0.4, 433], ['Lib', 0.4, 403], ['Oth', 0.3, 309]]",democrat
21,New York,Niagara,"[['Dem', 61.9, 48073], ['GOP', 36.4, 28276], ['Lib', 0.6, 492], ['Grn', 0.6, 441], ['Oth', 0.6, 435]]",democrat
