id,perc_08,perc_09,perc_10,perc_11,perc_12,perc_13,perc_14
01001,86.7, 86.0,86.4,86.1,87.2,86.6,89.0
01003,83.6, 83.4,80.9,83.4,84.2,82.6,83.9
01005,82.4, 82.1,81.5,81.1,82.5,82.5,84.7
01007,82.0, 82.2,82.3,84.0,84.9,84.9,86.4
01009,80.6, 82.2,80.7,81.9,81.7,82.4,83.5
01011,80.9, 80.6,83.8,84.3,82.5,81.2,82.7
01013,82.9, 82.1,82.9,83.6,83.4,84.3,85.6
01015,84.6, 84.5,83.9,83.1,84.7,84.0,85.8
01017,83.0, 81.3,81.2,82.1,84.0,83.2,85.1
01019,82.9, 82.2,81.2,82.8,83.3,83.5,85.4
01021,81.0, 80.7,80.0,79.8,80.8,80.8,82.3
01023,84.1, 81.7,82.1,82.4,83.9,84.0,85.7
01025,83.2, 83.2,83.4,81.6,83.0,84.2,84.9
01027,83.5, 82.0,81.2,80.8,81.2,80.7,82.2
01029,82.4, 82.1,82.4,83.3,84.0,83.3,85.7
01031,84.3, 84.4,81.9,82.7,84.0,83.3,85.0
01033,84.3, 83.8,85.3,85.0,85.7,85.5,87.0
01035,85.0, 83.2,81.4,81.0,81.8,81.6,83.4
01037,84.6, 83.9,83.2,83.9,83.3,82.6,84.5
01039,83.8, 81.3,82.5,82.3,82.7,83.0,84.6
01041,81.7, 81.6,81.1,80.8,83.6,83.3,83.7
01043,82.3, 81.2,81.1,82.1,81.9,81.2,83.6
01045,86.3, 83.7,85.1,84.4,85.3,85.1,86.2
01047,84.8, 83.3,83.9,84.1,85.5,85.6,85.7
01049,79.9, 79.6,76.5,76.7,78.3,77.1,79.1
01051,84.9, 85.8,85.7,86.0,86.8,87.7,88.5
01053,79.7, 81.1,80.5,80.7,80.4,81.3,83.0
01055,83.1, 82.8,81.7,83.1,83.3,83.9,85.4
01057,83.7, 83.3,83.1,84.1,84.6,84.5,85.4
01059,80.7, 80.1,76.8,79.0,79.9,79.6,80.1
01061,82.4, 80.0,80.3,81.6,81.0,80.6,82.8
01063,84.6, 82.8,81.9,82.3,84.0,82.9,84.9
01065,83.2, 82.1,83.4,80.9,83.9,83.8,86.0
01067,83.6, 82.3,81.7,82.6,83.3,82.9,84.9
01069,84.9, 83.2,83.3,83.8,83.6,84.1,86.5
01071,83.8, 83.3,81.4,81.6,82.9,82.1,84.3
01073,85.9, 85.7,83.9,84.9,85.5,85.4,87.4
01075,83.3, 82.4,82.7,83.2,83.1,84.0,86.0
01077,84.3, 83.9,84.8,84.8,83.7,85.0,86.3
01079,83.1, 81.9,81.0,82.3,81.8,81.9,83.9
01081,87.2, 84.4,84.2,83.2,84.7,83.9,86.6
01083,84.6, 84.4,83.3,83.6,84.0,84.0,85.6
01085,84.0, 82.8,83.0,82.6,84.5,84.5,85.6
01087,85.6, 83.2,83.6,84.3,84.7,84.1,87.0
01089,86.8, 87.2,85.9,85.0,86.3,86.4,87.5
01091,85.1, 82.1,83.2,82.4,84.8,84.4,86.7
01093,83.7, 82.1,82.7,82.7,84.2,83.8,84.6
01095,80.9, 81.3,78.5,78.5,81.4,78.2,81.2
01097,83.1, 82.7,81.4,81.4,82.3,83.5,85.1
01099,83.7, 82.9,81.6,81.6,83.5,81.6,82.3
01101,86.8, 86.1,84.2,83.5,84.6,84.7,86.1
01103,83.9, 84.5,81.1,81.5,83.1,82.7,83.9
01105,83.5, 83.0,83.0,80.4,83.8,84.1,84.7
01107,83.6, 83.5,82.6,82.4,83.5,83.0,85.7
01109,83.7, 82.9,82.4,79.7,82.0,82.5,84.8
01111,82.0, 80.9,81.8,81.3,81.8,81.2,83.2
01113,82.6, 81.9,82.6,82.3,83.4,82.9,85.2
01115,83.9, 83.0,84.8,84.1,84.7,85.6,86.6
01117,89.7, 89.7,87.7,87.9,88.7,87.9,89.4
01119,84.2, 79.9,81.2,82.1,82.8,82.7,83.3
01121,85.4, 84.3,83.8,84.3,85.3,85.4,86.5
01123,85.1, 83.0,82.7,84.3,84.0,83.9,85.7
01125,86.3, 86.1,82.5,85.1,84.8,84.8,87.8
01127,83.1, 82.4,83.3,83.2,84.2,84.0,84.8
01129,84.1, 84.2,81.0,81.8,82.3,83.9,84.9
01131,82.0, 80.8,82.4,78.0,82.0,82.5,83.7
01133,82.8, 82.1,80.7,81.9,82.3,83.2,83.7
02013,68.3, 63.3,58.8,54.0,58.4,59.9,60.7
