id,pov_08,pov_09,pov_10,pov_11,pov_12,pov_13,pov_14
01001,18.51,20.69,21.36,21.9,21.42,21.55,21.44
01003,18.87,22.41,23.73,23.28,24.0,24.07,23.16
01005,35.33,37.14,38.43,39.45,39.27,39.34,37.94
01007,28.88,29.56,30.24,29.86,30.81,30.63,30.02
01009,24.44,25.88,25.67,26.1,26.74,26.98,27.11
01011,41.95,43.46,42.65,42.2,42.37,43.13,41.55
01013,33.8,36.35,38.47,38.71,38.42,39.03,38.96
01015,26.38,27.96,31.86,32.2,32.33,32.8,32.22
01017,30.5,32.74,35.5,36.25,35.68,36.04,36.17
01019,29.6,29.71,31.75,32.69,31.56,31.46,31.2
01021,27.55,29.85,31.66,32.37,31.94,31.8,31.29
01023,32.1,30.08,30.25,30.7,30.49,29.32,28.29
01025,27.92,30.82,33.91,35.51,33.14,33.83,33.97
01027,30.24,30.36,34.01,33.99,34.07,34.43,33.45
01029,28.54,28.79,31.0,30.1,29.93,29.84,29.21
01031,23.93,24.81,27.82,27.75,27.19,26.98,26.34
01033,24.5,26.77,28.71,29.42,28.8,28.32,28.3
01035,37.42,35.61,39.73,42.06,43.31,42.77,42.35
01037,30.1,28.71,33.4,32.1,32.56,31.77,31.82
01039,30.55,31.98,32.81,34.07,35.06,33.73,32.66
01041,31.88,32.65,33.6,31.99,32.32,32.33,32.06
01043,26.2,28.24,29.35,29.54,29.74,29.54,29.29
01045,26.09,28.84,30.39,29.81,29.91,29.93,30.45
01047,37.93,40.33,46.42,46.66,47.06,46.81,46.69
01049,33.27,35.29,37.17,36.74,35.09,34.11,34.22
01051,18.88,21.7,21.71,21.64,21.37,21.69,21.8
01053,32.25,32.84,36.1,36.55,37.52,37.73,36.74
01055,28.06,29.2,31.01,31.69,31.85,31.07,30.93
01057,29.44,28.76,31.72,31.19,31.04,31.09,31.35
01059,33.29,35.17,36.44,35.52,35.27,35.06,34.99
01061,33.14,32.89,33.72,34.46,35.0,34.9,34.71
01063,42.67,42.8,44.91,49.09,48.81,48.88,47.09
01065,35.42,37.08,37.65,39.36,38.34,39.08,37.97
01067,28.24,29.29,28.45,28.36,28.85,27.34,27.3
01069,23.98,27.61,29.88,29.73,30.19,29.82,30.3
01071,27.0,28.32,30.56,30.71,30.3,29.95,30.26
01073,21.07,23.44,26.3,26.47,26.76,26.84,27.02
01075,30.39,30.16,34.82,33.66,33.16,32.52,32.77
01077,24.02,25.26,28.75,28.68,28.91,28.58,27.2
01079,24.95,26.13,26.43,27.07,27.34,26.77,26.71
01081,24.05,28.46,31.8,32.04,31.83,31.86,31.83
01083,19.56,21.61,22.27,22.86,22.83,22.37,21.86
01085,35.49,39.8,39.42,39.82,40.11,38.77,38.52
01087,37.27,40.81,42.47,42.45,41.17,41.65,40.74
01089,15.95,17.04,19.99,21.24,20.72,20.47,20.4
01091,32.12,34.05,35.94,36.46,34.5,35.41,34.94
01093,31.97,31.53,34.0,34.04,34.18,34.09,33.67
01095,30.1,32.2,34.06,34.3,34.38,33.55,33.55
01097,27.03,29.5,31.32,31.59,32.19,31.17,30.87
01099,28.75,31.44,36.3,36.43,36.17,37.1,36.88
01101,24.46,28.62,30.96,32.39,32.21,31.65,31.42
01103,21.59,24.17,25.9,26.41,26.48,26.34,25.81
01105,43.17,46.1,48.82,53.0,48.4,47.74,46.19
01107,33.66,34.32,36.87,37.47,36.99,37.09,35.89
01109,32.08,34.77,40.19,39.83,40.39,40.16,39.23
01111,31.27,32.7,36.29,35.88,36.04,35.22,34.74
01113,32.93,35.99,38.76,39.88,38.56,39.38,37.22
01115,21.46,23.55,22.97,24.39,25.33,25.24,24.39
01117,10.46,12.34,13.8,13.74,14.12,13.78,14.14
01119,44.31,44.91,45.99,46.48,47.35,48.2,46.56
01121,28.55,29.54,33.25,32.78,33.64,32.71,33.46
01123,27.95,29.41,31.46,31.4,31.65,31.92,31.32
01125,23.08,25.56,30.63,30.94,30.92,29.45,28.37
01127,29.31,27.67,29.64,30.15,30.4,30.86,31.05
01129,26.33,26.87,28.59,28.87,28.11,26.78,26.25
01131,42.53,47.15,47.3,54.57,49.25,48.8,47.58
01133,32.9,33.22,36.03,34.26,34.86,35.31,33.77
02013,19.08,22.21,27.46,27.78,23.96,26.08,26.87
02016,16.01,17.53,24.52,25.87,22.6,20.43,21.26
02020,13.2,12.89,15.37,15.39,15.48,14.48,14.61
02050,35.25,39.47,40.43,41.92,42.16,43.24,42.88
02060,11.04,12.23,15.58,15.56,17.27,17.12,17.1
02068,10.89,11.75,12.77,12.6,12.32,11.17,12.35
02070,27.2,31.99,36.15,35.54,36.11,36.47,34.6
02090,14.11,14.95,17.35,16.32,17.76,16.61,16.17
02100,16.37,17.72,22.28,21.85,22.1,21.21,19.84
02105,20.96,25.49,29.22,28.6,27.65,29.13,28.29
02110,10.41,10.16,12.28,13.04,12.9,12.5,11.64
02122,16.69,15.48,17.68,17.94,17.48,17.67,16.85
02130,13.8,17.89,18.62,19.1,18.83,18.31,18.63
02150,15.33,16.02,19.0,19.79,19.63,18.55,17.99
02164,24.24,28.59,33.53,32.07,31.37,33.87,30.62
02170,15.39,14.94,16.48,17.5,16.7,16.31,15.87
02180,29.04,32.65,38.64,39.34,39.8,39.87,39.53
02185,16.4,16.41,21.72,20.69,23.53,21.74,20.56
02188,23.13,25.7,33.56,35.42,36.78,35.93,35.46
02220,13.1,13.92,16.73,16.76,15.67,16.55,15.0
02230,10.73,12.48,15.87,16.67,15.69,15.09,14.78
02240,22.68,23.4,23.07,23.8,23.68,23.52,23.03
02261,13.88,13.51,15.34,15.56,15.8,16.25,15.92
02270,47.55,54.4,56.36,55.33,53.87,57.95,58.31
02282,16.23,22.4,25.87,24.83,26.04,27.32,23.64
02290,30.31,33.28,38.13,37.16,37.21,37.65,36.17
04001,42.91,48.19,47.14,47.78,48.19,47.49,48.19
04003,27.5,28.73,28.07,29.55,29.67,29.47,29.78
04005,24.39,27.64,30.68,31.74,31.76,31.94,31.66
04007,30.32,31.34,31.68,33.34,33.77,34.0,34.69
04009,31.22,32.87,33.51,35.7,34.83,34.24,32.58
04011,19.68,18.59,26.01,25.8,25.4,25.26,24.19
04012,38.19,37.62,36.87,38.46,39.02,38.74,39.21
04013,20.27,22.97,25.13,26.19,26.36,26.28,25.88
04015,31.73,33.27,31.98,32.88,34.26,34.33,34.57
04017,37.29,41.14,38.38,41.32,43.03,42.88,42.99
04019,24.77,27.5,27.78,29.66,30.09,30.19,29.88
04021,25.72,26.73,28.8,29.24,27.21,26.87,26.58
04023,37.13,41.71,40.94,41.44,40.79,39.84,39.43
04025,24.54,26.27,26.91,27.86,28.43,28.58,28.43
04027,37.12,39.23,37.34,38.7,37.99,36.97,35.8
05001,27.66,27.62,30.14,31.18,30.63,30.23,29.21
05003,28.46,29.46,31.14,31.81,31.56,31.43,32.0
05005,28.25,28.24,29.61,30.63,30.85,30.65,29.02
05007,19.26,21.7,21.38,22.68,23.08,22.07,20.9
05009,28.02,29.65,28.63,29.27,29.09,29.25,29.24
05011,36.41,38.0,38.94,38.43,38.13,38.58,39.41
05013,28.01,26.35,26.75,27.28,28.23,27.43,26.5
05015,31.77,34.28,34.32,35.69,35.34,35.35,33.98
05017,42.58,38.92,43.27,45.33,45.05,43.69,42.95
05019,29.55,31.51,34.24,34.33,34.01,33.83,32.18
05021,31.9,30.57,33.27,33.54,33.08,32.01,32.62
05023,27.83,27.55,28.51,28.28,27.83,27.75,27.24
05025,26.04,25.74,26.14,25.53,26.94,27.19,25.31
05027,29.13,29.28,31.99,33.42,33.83,34.16,33.04
05029,28.63,29.04,28.9,30.51,31.51,31.79,30.03
05031,26.63,28.3,30.44,31.86,31.61,31.55,31.09
05033,26.66,28.87,30.15,30.3,30.61,30.36,30.07
05035,31.58,35.71,37.3,38.54,38.0,37.15,37.18
05037,29.65,30.61,31.53,31.74,31.6,31.77,31.83
05039,31.94,32.08,34.12,34.46,35.3,34.57,32.62
05041,36.32,36.84,39.91,39.21,38.95,39.75,39.07
05043,29.19,31.34,33.71,33.94,36.12,36.59,35.85
05045,20.8,22.51,25.5,26.04,25.62,24.88,24.13
05047,28.05,28.85,31.02,31.92,32.55,32.32,31.74
05049,36.99,35.67,34.0,34.79,35.15,34.84,34.23
05051,27.87,29.07,30.65,32.52,32.65,33.2,32.69
05053,20.3,21.43,21.06,20.5,21.68,22.01,21.15
05055,28.59,29.07,31.52,31.62,30.96,30.23,28.69
05057,34.77,36.96,37.78,39.02,38.76,39.88,39.66
05059,27.62,28.93,28.45,28.85,28.66,28.5,27.83
05061,31.79,34.68,36.98,37.8,37.32,38.47,37.32
05063,28.39,30.0,31.16,32.26,32.18,32.94,31.8
05065,35.18,35.15,34.99,34.59,35.11,35.02,34.6
05067,34.6,33.59,39.01,38.15,38.61,37.86,37.13
05069,29.32,31.53,33.45,34.71,35.08,35.59,35.65
05071,34.43,34.83,34.82,34.97,34.23,35.55,35.53
05073,39.07,36.04,37.06,37.08,37.41,36.84,35.16
05075,35.19,33.92,36.91,37.63,38.37,37.59,36.79
05077,41.79,40.13,43.7,43.63,44.11,44.48,44.35
05079,30.92,32.2,34.19,33.47,35.05,33.91,34.17
05081,27.08,27.28,29.26,30.01,29.91,29.94,29.15
05083,30.78,30.05,30.63,30.94,31.73,31.31,31.55
05085,20.93,22.93,22.04,23.04,23.24,22.64,21.6
05087,32.88,34.41,31.49,32.53,33.89,34.6,34.49
05089,33.55,32.65,33.12,33.04,34.63,34.07,34.56
05091,28.64,30.3,31.01,32.02,32.68,32.6,31.49
05093,33.26,34.12,38.49,38.79,38.52,37.74,37.32
05095,37.46,36.43,37.42,40.01,39.92,39.62,39.31
05097,34.23,34.12,34.35,34.25,35.23,36.13,34.43
05099,34.82,33.99,34.62,34.68,35.74,36.11,35.67
05101,38.28,37.87,37.87,37.75,39.04,38.18,36.49
05103,29.43,29.66,33.52,34.29,34.62,35.35,35.6
05105,28.08,28.98,27.96,28.37,29.07,28.48,27.83
05107,43.37,43.43,47.72,48.26,48.55,48.25,48.54
05109,30.94,32.31,35.08,35.95,36.22,36.22,35.86
05111,36.58,36.08,37.79,38.99,39.69,38.77,38.06
05113,35.51,35.13,34.86,35.79,36.08,36.2,36.4
05115,26.61,29.11,29.53,30.76,30.42,29.93,29.39
05117,28.6,29.07,30.91,31.35,32.06,31.7,31.03
05119,22.14,23.83,25.66,26.91,27.36,26.79,26.06
05121,34.32,32.92,33.61,34.61,34.28,34.05,32.75
05123,37.26,39.3,43.98,44.82,44.55,44.1,44.25
05125,16.98,18.12,18.87,19.07,18.34,18.48,17.38
05127,38.26,37.81,39.57,39.04,39.02,37.42,37.16
05129,44.61,42.6,43.01,43.53,43.36,42.64,41.44
05131,26.36,28.26,30.06,31.2,31.51,32.31,31.54
05133,37.83,40.36,41.38,41.53,41.54,41.59,39.18
05135,39.04,38.04,36.9,37.79,38.34,37.8,37.02
05137,38.97,37.16,38.25,38.98,38.9,39.23,39.02
05139,27.02,28.66,30.27,31.85,31.22,31.09,30.15
05141,32.51,30.65,31.68,32.34,32.09,32.54,32.3
05143,23.86,27.98,29.76,31.19,30.97,31.46,30.78
05145,27.67,28.37,29.15,28.82,28.94,28.89,27.94
05147,38.12,36.62,40.24,39.77,39.91,39.53,38.65
05149,34.01,35.3,35.49,34.89,35.23,34.82,35.15
06001,15.29,16.15,19.28,20.08,20.05,19.3,18.46
06003,18.74,21.81,23.32,22.35,23.43,24.36,23.47
06005,16.19,16.78,17.62,18.2,19.72,20.18,20.46
06007,30.36,29.86,32.03,33.62,34.41,33.83,32.47
06009,18.6,19.2,18.89,19.82,20.64,21.03,20.65
06011,28.37,30.48,31.43,30.88,30.75,29.96,28.51
06013,12.7,13.39,15.23,16.76,16.73,16.42,15.94
06015,33.93,32.49,33.59,36.22,35.96,34.72,35.43
06017,12.83,13.09,13.81,14.65,15.13,14.93,15.46
06019,34.28,34.88,36.75,38.06,39.01,38.63,38.25
06021,31.36,33.39,32.92,33.58,34.2,34.07,33.29
06023,29.08,30.24,31.6,32.21,32.62,32.32,32.04
06025,39.41,40.72,39.01,39.52,39.57,38.53,37.71
06027,20.04,20.98,22.28,23.41,23.15,23.76,22.46
06029,32.22,33.84,35.58,36.22,36.04,36.01,35.38
06031,30.63,33.16,34.11,33.87,33.77,33.76,33.72
06033,33.59,33.38,33.24,35.55,36.1,37.37,37.86
06035,21.53,21.75,23.42,23.13,23.8,23.54,24.04
06037,24.11,24.91,27.59,28.39,28.8,28.56,27.88
06039,33.86,36.93,36.12,37.59,37.56,37.1,36.51
06041,7.74,7.99,9.95,11.32,11.06,10.87,10.72
06043,23.36,23.71,24.59,25.38,27.16,26.08,26.84
06045,27.77,28.99,31.67,32.43,32.56,32.99,33.01
06047,35.17,38.18,37.55,39.01,38.58,39.12,38.57
06049,32.7,31.53,31.72,34.16,34.14,34.78,34.94
06051,17.66,21.36,25.88,25.65,25.98,26.83,25.28
06053,24.52,27.78,28.11,30.12,30.19,29.67,28.91
06055,15.24,15.5,18.43,19.84,19.25,18.49,17.66
06057,15.6,17.0,17.99,19.02,19.78,19.97,19.92
06059,16.03,17.57,18.96,20.35,20.62,20.02,19.61
06061,10.96,12.08,13.02,13.4,13.98,13.65,13.54
06063,20.79,21.08,23.5,24.65,25.34,26.35,25.26
06065,22.62,24.61,26.52,27.16,27.92,27.34,26.57
06067,21.34,23.49,25.04,26.22,27.55,27.07,26.78
06069,18.2,20.79,21.69,22.34,22.32,22.38,20.94
06071,24.14,27.02,27.6,28.45,29.72,29.07,29.4
06073,18.59,19.67,22.53,23.37,23.32,22.95,22.22
06075,14.9,15.35,18.66,19.74,19.55,18.95,17.81
06077,26.05,26.85,28.82,29.42,29.92,29.9,29.58
06079,18.15,19.71,22.21,23.51,22.83,22.93,22.28
06081,9.6,10.16,11.88,12.63,12.91,12.31,11.85
06083,21.45,23.78,27.17,27.23,27.21,26.89,26.37
06085,11.27,12.6,15.62,15.87,15.88,15.33,14.31
06087,17.96,20.04,22.84,23.59,23.37,23.07,22.88
06089,27.01,26.58,27.5,29.35,29.33,29.9,28.27
06091,22.96,23.02,22.36,22.48,24.43,24.91,24.11
06093,30.74,29.64,31.66,33.25,33.27,33.2,33.66
06095,15.61,17.02,17.98,19.03,20.13,19.43,19.25
06097,15.22,16.29,19.54,19.93,20.22,20.23,19.49
06099,26.25,28.41,29.0,30.85,31.34,31.3,31.04
06101,26.45,28.6,28.85,29.36,30.01,30.71,29.57
06103,32.21,33.19,35.26,36.24,36.56,34.44,33.33
06105,32.79,31.23,32.5,33.17,33.81,33.68,34.19
06107,36.36,39.1,40.13,41.37,42.05,41.72,41.5
06109,20.06,21.28,22.21,23.76,24.84,24.18,24.54
06111,15.71,17.48,17.97,18.39,18.55,18.23,18.26
06113,21.57,22.64,26.26,28.46,27.95,27.69,27.59
06115,32.46,35.13,34.2,35.23,35.36,33.63,34.66
08001,20.36,22.73,23.8,25.2,24.65,23.91,22.98
08003,32.72,34.25,36.12,36.66,35.78,35.99,35.54
08005,14.6,16.93,19.06,20.22,19.87,19.64,18.38
08007,20.48,24.17,24.32,24.63,24.15,25.3,24.98
08009,35.81,33.96,33.53,34.76,33.01,35.0,34.55
08011,36.6,37.69,36.79,35.37,35.75,35.07,33.44
08013,13.13,15.28,18.74,19.64,20.01,19.19,18.8
08014,8.73,8.88,10.34,10.81,10.85,10.87,9.95
08015,19.13,19.95,22.32,22.43,22.41,21.18,19.35
08017,20.78,23.62,24.16,25.03,22.78,22.1,22.41
08019,9.84,10.64,12.84,13.56,14.26,13.86,13.61
08021,41.12,40.16,37.26,37.76,37.43,35.73,35.38
08023,47.77,41.05,37.92,39.08,38.4,38.15,38.03
08025,40.57,38.39,38.97,40.55,39.96,39.39,42.17
08027,19.55,21.25,24.79,23.84,23.65,24.29,24.97
08029,24.25,25.35,25.9,26.43,26.75,26.55,26.48
08031,24.1,25.31,29.44,30.19,29.21,28.15,26.15
08033,24.1,25.09,25.93,24.98,26.13,25.28,25.5
08035,5.53,5.16,5.32,5.75,5.91,5.98,5.64
08037,11.34,14.51,18.02,19.54,18.78,17.14,16.17
08039,9.27,9.44,9.54,10.25,10.13,10.1,9.71
08041,17.09,19.18,21.0,21.25,20.83,20.86,19.6
08043,25.25,25.07,26.24,26.59,27.16,26.87,27.48
08045,13.63,16.01,18.36,19.21,20.06,20.06,19.52
08047,10.92,13.21,13.52,14.71,15.26,15.18,15.58
08049,12.37,16.05,18.36,18.33,18.67,18.39,18.36
08051,17.38,21.5,25.12,26.66,25.47,25.56,24.23
08053,12.37,20.09,23.97,25.44,23.4,22.33,22.39
08055,35.93,34.03,33.47,33.87,35.22,35.08,34.04
08057,23.29,25.96,29.3,30.01,30.39,30.38,30.09
08059,11.28,12.01,13.76,14.12,14.37,14.02,13.23
08061,23.58,27.18,26.73,26.6,26.36,24.91,25.05
08063,25.91,26.94,27.55,27.11,27.35,26.47,26.28
08065,22.38,26.79,28.76,32.04,30.76,27.71,27.71
08067,14.56,16.51,18.19,18.85,19.48,19.3,18.02
08069,15.74,18.28,20.98,21.88,21.64,21.58,20.55
08071,27.17,26.5,28.16,28.61,28.7,29.3,28.64
08073,23.8,25.97,30.04,28.78,29.21,28.42,29.55
08075,21.96,23.76,23.98,24.22,25.54,24.3,24.84
08077,18.09,19.07,21.79,21.84,21.89,22.59,22.89
08079,17.52,19.4,18.07,18.68,19.13,15.27,16.7
08081,16.25,18.28,19.44,20.83,20.58,20.7,20.37
08083,24.41,25.9,28.15,28.65,28.94,29.29,28.58
